restaurant,disturbance_type,disturbance_id,start_date,end_date,start_lower,start_upper,end_lower,end_upper,direction,support_probability,duration_days,effect_low_dollars_per_day,effect_median_dollars_per_day,effect_high_dollars_per_day,effect_low_percent,effect_median_percent,effect_high_percent,status_label,source_method
hurricane,event,hurricane_0_021,2025-01-16,2025-01-29,2025-01-16,2025-01-23,2025-01-29,2025-01-30,negative,0.2125,14,-1547.0910542785512,-891.6055820876359,-476.69719056253155,-11.783229630571945,-6.7908047716930255,-3.630705797899007,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,event,hurricane_0_022,2025-02-13,2025-02-16,2025-02-11,2025-02-15,2025-02-15,2025-02-20,negative,0.9875,4,-1502.9080866704282,-1049.7351760852675,-700.1634133656812,-11.446715466362384,-7.99517946722903,-5.332708928667528,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,event,hurricane_0_023,2025-02-19,2025-02-22,2025-02-19,2025-02-20,2025-02-22,2025-02-28,positive,0.165,4,477.34931788566564,888.0530289406718,1479.124754014049,3.6356726458266766,6.763747185528513,11.26557262457853,Detected event,frozen_state_aware_ar1_exact_enumeration
hurricane,regime,hurricane_cpd_3,2024-12-21,2025-01-23,2024-12-21,2024-12-21,2025-01-23,2025-01-23,negative,,34,-180.69744541612621,-36.66423810181584,103.84075766877761,-1.3762599732624377,-0.2792486813163851,0.7908904193065536,Long-lasting sales shift,truth-assisted synthetic CPD selection
springdale,event,springdale_0_013,2024-08-22,2024-08-22,2024-08-20,2024-08-22,2024-08-22,2024-08-22,positive,0.0875,1,568.292113696387,892.8203243210007,1239.271595172919,4.48415118749595,7.044865168872371,9.778564687409236,Detected event,frozen_state_aware_ar1_exact_enumeration
springdale,event,springdale_0_014,2024-08-23,2024-08-23,2024-08-22,2024-08-23,2024-08-23,2024-08-25,negative,0.6675,1,-1414.5244647158522,-926.918927801921,-579.8372598109625,-11.161410488244801,-7.313922735581121,-4.57524902153548,Detected event,frozen_state_aware_ar1_exact_enumeration
springdale,event,springdale_0_019,2024-12-13,2024-12-17,2024-12-11,2024-12-14,2024-12-16,2024-12-19,negative,0.88,5,-1366.7092224417806,-998.1733396927889,-732.590307000655,-10.784120763020436,-7.876160971858079,-5.780558300761609,Detected event,frozen_state_aware_ar1_exact_enumeration
springdale,event,springdale_0_021,2025-01-15,2025-01-18,2025-01-15,2025-01-15,2025-01-17,2025-01-19,positive,0.0975,4,568.825945499534,864.9862869871527,1213.5206972440178,4.488363427040213,6.825238627248282,9.575375312184754,Detected event,frozen_state_aware_ar1_exact_enumeration
springdale,event,springdale_0_022,2025-02-13,2025-02-22,2025-02-12,2025-02-14,2025-02-22,2025-02-24,negative,0.4025,10,-1080.6372691336499,-831.4401129005023,-544.303722372164,-8.526848740024745,-6.5605400457596685,-4.294869001714817,Detected event,frozen_state_aware_ar1_exact_enumeration
springdale,regime,springdale_cpd_0,2024-12-14,2025-02-17,2024-12-14,2024-12-14,2025-02-17,2025-02-17,positive,,66,72.94228557865206,175.274224207695,273.873107208119,0.5755565291390402,1.3830143014060337,2.1610161206048426,Long-lasting sales shift,truth-assisted synthetic CPD selection
